"id","event_id_ref","customer_id_ref","citation_files","citation_pdf_s3_url","citation_pii_s3_url","citation_due_date","citation_due_date_ts","citation_issued_date","citation_issued_date_ts","citation_due_amount","license_plate","citation_leo_id_ref","citation_status","citation_info","deployment_id_ref","citation_currency","latest_payment_date_ts","payment_status","payment_method","citation_number","updated_at","updated_at_ts","created_at_ts","created_at","citation_stage","pin","citation_event_subtype","citation_amount_paid","latest_payment_date","citation_type","voided_at","voided_reason","voided_remarks","voided_by_ref","payment_source","payment_acknowledged_by_ref","dispatched_at","confirmed_at","is_state_machine_enabled","last_state_updated_at","contested_at","flag_added_at","flag_deleted_at","returned_at","violator_city","violator_county","violator_state","violator_zip"
296166,7503547,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/331714/main_evidence_20260210_060402.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7503547/frame_frame_1770690671176_7503547_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/331714/main_frame_120_20260210_060402.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/331714/main_frame_180_20260210_060402.jpg""}",s3://obvio-secure/citations/000331714/citation_000331714.pdf,s3://obvio-secure/dmv/scout/responses/866013e9-eaf6-442c-b3db-fcabdcd15bdd_response_reformatted.json,1773440589719,,1770891382315,,4000,,94,pending,"{""occurred_at"": 1770525024650, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Volta Ave & 37th St NWB""}",232,usd,,unpaid,,"000331714",1770762189727,,2026-02-11 03:23:09.726 +0500,1770762189727,payment,"9532",stop_sign,0,,citation,,,,,,,1770891382315,1770974176318,true,,,,,,CLINTON,PRINCE GEORGE'S,MD,"20735-2547"
296164,7529136,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/329181/main_evidence_20260209_181011.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7529136/frame_frame_1770659619780_7529136_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/329181/main_frame_120_20260209_181011.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/329181/main_frame_180_20260209_181011.jpg""}",s3://obvio-secure/citations/000329181/citation_000329181.pdf,s3://obvio-secure/dmv/scout/responses/b572ef63-f2ef-4f45-b5cf-5f0e47df8fb4_response_reformatted.json,1773440585037,,1770891363731,,4000,,94,pending,"{""occurred_at"": 1770610662891, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Volta Ave & 38th SEB""}",233,usd,,unpaid,,"000329181",1770762185045,,2026-02-11 03:23:05.044 +0500,1770762185045,payment,"7159",stop_sign,0,,citation,,,,,,,1770891363731,1770974165073,true,,,,,,UPPER MARLBORO,PRINCE GEORGE'S,MD,"20774-2374"
296158,7347729,a27416f9-adfa-4720-ae75-92666069c96a,"{""main_video"": ""s3://obvio-secure/violations/322452/main_evidence_20260204_180701.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7347729/frame_frame_1770224710138_7347729_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/322452/main_frame_120_20260204_180701.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/322452/main_frame_180_20260204_180701.jpg""}",s3://obvio-secure/citations/000322452/citation_000322452.pdf,s3://obvio-secure/dmv/scout/responses/a82ee160-2f56-4c6b-83df-782adb5f814f_response_reformatted.json,1773440575303,,1770891371101,,4000,,157,pending,"{""occurred_at"": 1770141542088, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Kipling Parkway & Mason St Southwest""}",364,usd,,unpaid,,"000322452",1770762175310,,2026-02-11 03:22:55.309 +0500,1770762175310,payment,"1485",stop_sign,0,,citation,,,,,,,1770891371101,1770974153012,true,,,,,,DISTRICT HEIGHTS,PRINCE GEORGE'S,MD,"20747-2882"
296156,7528771,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/329019/main_evidence_20260209_173614.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7528771/frame_frame_1770657722778_7528771_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/329019/main_frame_120_20260209_173614.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/329019/main_frame_180_20260209_173614.jpg""}",s3://obvio-secure/citations/000329019/citation_000329019.pdf,s3://obvio-secure/dmv/scout/responses/77437344-1c30-4098-9f7f-d56691aa39ed_response_reformatted.json,1773440571839,,1770891363725,,4000,,94,pending,"{""occurred_at"": 1770609047784, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Volta Ave & 37th St NWB""}",232,usd,,unpaid,,"000329019",1770762171858,,2026-02-11 03:22:51.858 +0500,1770762171858,payment,"2801",stop_sign,0,,citation,,,,,,,1770891363725,1770974164334,true,,,,,,MOUNT RAINIER,PRINCE GEORGE'S,MD,"20712-1333"
296154,7503008,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/328981/main_evidence_20260209_172538.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7503008/frame_frame_1770655396136_7503008_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/328981/main_frame_120_20260209_172538.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/328981/main_frame_180_20260209_172538.jpg""}",s3://obvio-secure/citations/000328981/citation_000328981.pdf,s3://obvio-secure/dmv/scout/responses/6098e24a-1ee9-4f42-a517-544c5f8d0ab6_response_reformatted.json,1773440568301,,1770891377041,,4000,,94,pending,"{""occurred_at"": 1770522433079, ""event_subtype"": ""stop_sign"", ""complete_address"": ""34th St & Windom Rd Northbound""}",313,usd,,unpaid,,"000328981",1770762168309,,2026-02-11 03:22:48.308 +0500,1770762168309,payment,"1243",stop_sign,0,,citation,,,,,,,1770891377041,1770974164166,true,,,,,,HYATTSVILLE,PRINCE GEORGE'S,MD,"20781-2217"
296153,7347666,a27416f9-adfa-4720-ae75-92666069c96a,"{""main_video"": ""s3://obvio-secure/violations/323211/main_evidence_20260204_201032.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7347666/frame_frame_1770233429383_7347666_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/323211/main_frame_120_20260204_201032.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/323211/main_frame_180_20260204_201032.jpg""}",s3://obvio-secure/citations/000323211/citation_000323211.pdf,s3://obvio-secure/dmv/scout/responses/795b9ef0-8436-4919-9c15-3debf1255786_response_reformatted.json,1773440567719,,1770891363744,,4000,,157,pending,"{""occurred_at"": 1770141486029, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Kipling Parkway at Marbury Dr Southwest""}",361,usd,,unpaid,,"000323211",1770762167725,,2026-02-11 03:22:47.725 +0500,1770762167725,payment,"1924",stop_sign,0,,citation,,,,,,,1770891363744,1770974154066,true,,,,,,CAPITOL HEIGHTS,PRINCE GEORGE'S,MD,"20743-3506"
296152,7528623,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/330575/main_evidence_20260209_224203.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7528623/frame_frame_1770665392016_7528623_lpr.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/330575/main_frame_120_20260209_224203.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/330575/main_frame_180_20260209_224203.jpg""}",s3://obvio-secure/citations/000330575/citation_000330575.pdf,s3://obvio-secure/dmv/scout/responses/c688cfea-80c5-4ec4-aaf1-530e9f78ef4b_response_reformatted.json,1773440566567,,1770891380073,,4000,,94,pending,"{""occurred_at"": 1770608649046, ""event_subtype"": ""stop_sign"", ""complete_address"": ""34th St & Windom Rd Northbound""}",313,usd,,unpaid,,"000330575",1770762166575,,2026-02-11 03:22:46.574 +0500,1770762166575,payment,"1933",stop_sign,0,,citation,,,,,,,1770891380073,1770974169861,true,,,,,,SILVER SPRING,MONTGOMERY,MD,"20910-3521"
296151,7503010,dd443d64-f618-4c4b-9e2f-660c57a26f2d,"{""main_video"": ""s3://obvio-secure/violations/330362/main_evidence_20260209_220408.mp4"", ""lpr_frame_1"": ""s3://obvio-secure/annotation-artefacts/cropped-frames/7503010/frame_frame_38.jpg"", ""main_frame_1"": ""s3://obvio-secure/violations/330362/main_frame_120_20260209_220408.jpg"", ""main_frame_2"": ""s3://obvio-secure/violations/330362/main_frame_180_20260209_220408.jpg""}",s3://obvio-secure/citations/000330362/citation_000330362.pdf,s3://obvio-secure/dmv/scout/responses/02d3f3e6-4a44-4918-8635-fb0f030fb793_response_reformatted.json,1773440564746,,1770891363737,,4000,,94,pending,"{""occurred_at"": 1770522173472, ""event_subtype"": ""stop_sign"", ""complete_address"": ""Volta Ave & 38th SEB""}",233,usd,,unpaid,,"000330362",1770762164758,,2026-02-11 03:22:44.758 +0500,1770762164758,payment,"3713",stop_sign,0,,citation,,,,,,,1770891363737,1770974169221,true,,,,,,CAPITOL HGTS,PRINCE GEORGE'S,MD,"20743-1150"
